Page,Name,Score,Review
1,Patrick F,1,"I am highly unhappy with this airline! The Website is a big mess. I wanted to book extra sportluggage (which I thought should be no problem). I could not find any terms regarding the extra price and neither could book it online. Furthermore I tried to get someone on the phone for 3 days. The only person I got could not speak proper the language and could not help me. She just spoke random sentences which made no sense at all. <br><br>Then I have send an E-Mail and again no answer, which could help. The only reply on my mail was a link to the webpage, wher again I could not find any information.<br><br>Never again! If I could I would cancel the whole holiday because I wanted to go kitesurfing with my own gear."
1,Inda H,2,Called 7 times and no answer nor voice message. Said on policy not require visa but end up I have to pay for extra visa just for transit. Scam
1,Sam B,1,"They hold on to your your cash while refuse to refund in the form of vouchers for immediate use. <br><br>We got a confirmation of the refund of around $6.2K AUD for our cancellation on the 2nd October. After more than one month wait, we contacted VietnamAirlines only to be confirmed that the refund did not come through due to issues with their Mastercards portal, but we used American Express card for the purchase. Without any explaination for the such nonsense reason for the  delay of the refunds, Vietnamairlines then confirmed they would do manual refund and we have to wait another 10 -15 days. After waiting for many more days , with 8 international calls and 9 emails back and forth - some of which were completely ignored until international calls were made to enquire of this situation-, we still yet to see any refunds and only got back a generic promise ""we will get back to you"" !"
1,Therese K,4,"Overall 4 flights. 3 were fine, the all seemed to leave late but always arrived on time. The fourth one, the entertainment in rows 24-28 on the right side didn't work at all for anyone on the Melbourne flight. <br><br>It took 3 hours for a staffer to finally offer to move seats and have us prove that the screens still weren't working  and by then no one could be bothered since it was midnight and an overnight flight. it was very annoying. Please fix it!!. And if you are flying from Melbourne and want inflight entertainment make sure not to pick those seats.<br><br>The food was fine, the flight entertainment was fine when it worked, seats are narrow but good leg room. The optional  bubble tea was gross, I don't recommend.<br><br>I'm not going to give a bad rating based on that one flight but I imagine if it had been a day time or a longer flight I would have been fuming."
1,An K,1,"Summary, please avoid buying Vietnam Airlines if you have not done so.<br>I will rate minus stars if there is such an option.<br><br>We paid for 6 persons to fly end Now 2023 sometime in June 2023.<br><br>Our confirmed flights were then changed unilaterally by VA and no information was provided to us. The flights that were changed by VA could never have happened as the flight timings overlap (SG to HCM 2205 and HCM to Hanoi 2200). I wrote in on 19 August and was directed to online support on 24 August. This is where the nightmare service began.<br><br>We have to accept a change in dates of our flights. This cut short our original holiday and we have to suffer some travel costs (accomodation, travel insurance) that are non-refundable.<br><br>After almost 2.5 months of writing emails and waiting in good faith, VA will not compensate us to make good the unnecessary costs. Other than the online support with poor service attitude, no manager has contacted me.<br><br>This episode has caused caused unnecessary stress to my family, especially my parents and children who are looking foward to their year end holiday."
2,Lisa,1,Most terrible experience with an agency ever! Delayed flight from Ho Chi Minh caused it that we wouldn't make our transfer in Paris (notification only 2 days before). They made it our problem instead of theirs and the alternative options were terrible. Never again.
2,Lion K,1,"As with this new age, companies will offer a refund but even with medical evidence they will deny it to you. Especially this company that will offer cheap flights but take you hostage with extra fees and luggage"
2,Coopper29,5,"This was a great way to get to Hanoi nonstop. Most other airlines stop over and one has to change planes, the business class service was as good as any other top airline, and cost wise was 40% less than most airlines."
2,Maps41495746526,2,"It is the backend planning and operations of vietnam airlines that is horrible. First, our return flight timing back to singapore was pushed back by  20 mins. We didnt complain as it was a small shift . However, just a few days later, the flight timing got pushed back by a further 3 hours. It went from 10 50am to 7 45 am and considering that earlier flights were cheaper, they didn't even bother to at least offer a small discount. Moreover, this happened on short notice- 1 week before our trip. Secondly, the terminal stated on our ticket was stated as terminal 4 at changi airport. But vietnam airlines was actually at terminal 3. There was not a word of the change. Fortunately, my partner had the foresight to double check the terminals on changi airport's website before we departed for the airport . Extremely disappointed, will not be flying on vietnam airlines again"
2,Fearless55982077045,1,"Booked my direct flights to China (Hanoi to Chengdu) back in September directly with Vietnam Airline. Received last minute flight cancellation notice due to operational with no reschedule detail listed on email. Email them right back to check on possibilities on rescheduling with no response, had to make international call to confirm rescheduling is not possible as entire route was canceled and there are no other direct flight options available. Went through their refund process online via after sales, system error message keeps pops up to prevent me submit request. Try to avoid this airline if possible, services is not great with delay and cancellation rate above 67%..wished I have checked this before I book. Never thought of such short flight will cause all these inconveniences."
3,evans57,1,"Clear discrimination here, we had a 12k carry on allowance, we have hand luggage only which weighs less than 10 kg,  arbitrarily reduced at check in to 7kg so had to check everything in.. arrive at gate to see this. So fine if you are Vietnamese but if you are western then second class. It was not a cheap flight. Very disappointed. Will not retiurn."
3,Soko37,3,"Flight delayed almost 1 hour, slow boarding due to big plane and poor refreshment on  board. Sweat bakery with pieces of salami was not good choice and no beer."
3,Paul S,4,"Mainly good, staff on check in and on the plane really helpfully, food good, If you suspect you may need to change flight get the app, domestic flights changed times by two hours but I was informed in advance so no problem for me."
3,Salar A,1,"I wanted to change my flight from HCM to Saigon, to Can Tho to Saigon, for the same day. At first, the price over the phone to change flights was quoted as AUD120, Then via email confirmation immediately after it increased to $162. Then when I queried why I should do this when it is the same price just to book the new flight I wanted they emailed again saying it is actually $262 to change it, with the other option being that I pay a fee, yes you read correctly, I pay a $30 fee to cancel the HCM to Saigon flight and then I can just book and pay for another separate flight on my own. LOL"
